Title,Abstract,text,doc_id
Educational Cooperation Between Church and State,"""Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof. ...."" In a number of recent cases the Supreme Court has attempted to determine, in specific references, the present meaning of those words. The writer of this paper would like to record, concerning opinions expressed by members of the Court in the discussion of these cases, some reflections which have arisen out of a long participation in the teaching of American college and adult classes.","Educational Cooperation Between Church and State. ""Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof. ...."" In a number of recent cases the Supreme Court has attempted to determine, in specific references, the present meaning of those words. The writer of this paper would like to record, concerning opinions expressed by members of the Court in the discussion of these cases, some reflections which have arisen out of a long participation in the teaching of American college and adult classes.",Doc_1
Infidels and the Damn Churches,"British Columbia is at the forefront of a secularizing movement in the English-speaking world. Nearly half its residents claim no religious affiliation, and the province has the highest rate of unbelief or religious indifference in Canada. Infidels and the Damn Churches explores the historical roots of this phenomenon from the 1880s to the First World War. Lynne Marks reveals that class and racial tensions fuelled irreligion in a world populated by embattled ministers, militant atheists, turn-of-the-century New Agers, rough-living miners, Asian immigrants, and church-going settler women. White, working-class men often arrived in the province alone and identified the church with their exploitative employers. At the same time, BC’s anti-Asian and anti-Indigenous racism meant that their “whiteness” alone could define them as respectable, without the need for church affiliation. Consequently, although Christianity retained major social power elsewhere, many people in BC found the freedom to forgo church attendance or espouse atheist views. This nuanced study of mobility, gender, masculinity, and family in settler BC offers new insights into BC’s distinctive culture and into the beginnings of what has become an increasingly dominant secular worldview across Canada.","Infidels and the Damn Churches. British Columbia is at the forefront of a secularizing movement in the English-speaking world. Nearly half its residents claim no religious affiliation, and the province has the highest rate of unbelief or religious indifference in Canada. Infidels and the Damn Churches explores the historical roots of this phenomenon from the 1880s to the First World War. Lynne Marks reveals that class and racial tensions fuelled irreligion in a world populated by embattled ministers, militant atheists, turn-of-the-century New Agers, rough-living miners, Asian immigrants, and church-going settler women. White, working-class men often arrived in the province alone and identified the church with their exploitative employers. At the same time, BC’s anti-Asian and anti-Indigenous racism meant that their “whiteness” alone could define them as respectable, without the need for church affiliation. Consequently, although Christianity retained major social power elsewhere, many people in BC found the freedom to forgo church attendance or espouse atheist views. This nuanced study of mobility, gender, masculinity, and family in settler BC offers new insights into BC’s distinctive culture and into the beginnings of what has become an increasingly dominant secular worldview across Canada.",Doc_2
Vaccine Exemptions and the Church-State Problem.,"All of the 50 states of the United States have laws governing childhood vaccinations; 48 allow for religious exemptions, while 19 also offer exemptions based on some sort of personal philosophy. Recent disease outbreaks have caused these states to reconsider philosophical exemptions. However, we cannot, consistent with the U.S. Constitution, give preference to religion by creating religious exemptions only. The Constitution requires states to put religious and nonreligious claims on equal footing. Given the ubiquity of nonreligious objections to vaccination, I conclude that the best response is to remove all exemptions, as two states have already done. But removing exemptions should not end our concern for children. Removing exemptions only bars children from public schools; it still leaves them unvaccinated, a danger to others, and reliant on whatever nonpublic schooling is available. If public school attendance is not enough of an incentive for vaccine reluctant parents, perhaps we should look into stronger measures.","Vaccine Exemptions and the Church-State Problem.. All of the 50 states of the United States have laws governing childhood vaccinations; 48 allow for religious exemptions, while 19 also offer exemptions based on some sort of personal philosophy. Recent disease outbreaks have caused these states to reconsider philosophical exemptions. However, we cannot, consistent with the U.S. Constitution, give preference to religion by creating religious exemptions only. The Constitution requires states to put religious and nonreligious claims on equal footing. Given the ubiquity of nonreligious objections to vaccination, I conclude that the best response is to remove all exemptions, as two states have already done. But removing exemptions should not end our concern for children. Removing exemptions only bars children from public schools; it still leaves them unvaccinated, a danger to others, and reliant on whatever nonpublic schooling is available. If public school attendance is not enough of an incentive for vaccine reluctant parents, perhaps we should look into stronger measures.",Doc_3
More evidence on U.S. Catholic church attendance,"Hadaway, Marler et Chaves ont recemment affirme que la participation hebdomadaire aux services religieux aux Etats-Unis est de moitie moins importante que le taux generalement accepte. Au sujet des catholiques, leur resultat est base sur des donnees provenant de 18 dioceses. L'A. a voulu elargir le champ de recherche en utilisant les donnees de 48 dioceses catholiques comportant approximativement 38% de catholiques americains. Les resultats sont les memes: la participation hebdomadaire dans ces dioceses est de 26%. Ces resultats sont un point de depart pour affirmer que les taux de participation bases sur des donnees auto-reportees, sont largement gonfles","More evidence on U.S. Catholic church attendance. Hadaway, Marler et Chaves ont recemment affirme que la participation hebdomadaire aux services religieux aux Etats-Unis est de moitie moins importante que le taux generalement accepte. Au sujet des catholiques, leur resultat est base sur des donnees provenant de 18 dioceses. L'A. a voulu elargir le champ de recherche en utilisant les donnees de 48 dioceses catholiques comportant approximativement 38% de catholiques americains. Les resultats sont les memes: la participation hebdomadaire dans ces dioceses est de 26%. Ces resultats sont un point de depart pour affirmer que les taux de participation bases sur des donnees auto-reportees, sont largement gonfles",Doc_4
Church and Organ Music. Church Music: The Use of Bands,"JSTOR is a not-for-profit service that helps scholars, researchers, and students discover, use, and build upon a wide range of content in a trusted digital archive. We use information technology and tools to increase productivity and facilitate new forms of scholarship. For more information about JSTOR, please contact","Church and Organ Music. Church Music: The Use of Bands. JSTOR is a not-for-profit service that helps scholars, researchers, and students discover, use, and build upon a wide range of content in a trusted digital archive. We use information technology and tools to increase productivity and facilitate new forms of scholarship. For more information about JSTOR, please contact",Doc_5
Experiments in Church-Based Research,"<p>Experiments, with their ability to establish causal relationships (unlike correlational studies), are an under-utilized research tool in church-based research. This article examines experimental designs, including pre-experiments, true experiments, and quasi-experiments, and their relevance to church contexts. The challenges of random assignment, ethical considerations, and threats to validity, such as history, maturation, and selection effects, are real, but not insurmountable. There are practical limitations to experiments in church settings, but previously conducted experiments focusing on Bible reading, church attendance, and leadership development initiatives demonstrate their feasibility. The value of experimental methodologies for understanding church-related phenomena, improving ministry effectiveness, fostering spiritual growth, and ultimately contributing to fulfilling the Great Commission should not be underestimated.</p>","Experiments in Church-Based Research. <p>Experiments, with their ability to establish causal relationships (unlike correlational studies), are an under-utilized research tool in church-based research. This article examines experimental designs, including pre-experiments, true experiments, and quasi-experiments, and their relevance to church contexts. The challenges of random assignment, ethical considerations, and threats to validity, such as history, maturation, and selection effects, are real, but not insurmountable. There are practical limitations to experiments in church settings, but previously conducted experiments focusing on Bible reading, church attendance, and leadership development initiatives demonstrate their feasibility. The value of experimental methodologies for understanding church-related phenomena, improving ministry effectiveness, fostering spiritual growth, and ultimately contributing to fulfilling the Great Commission should not be underestimated.</p>",Doc_6
Church Leaders’ Views of Obesity Prevention Efforts for Children and Youth,"Abstract Objective To examine church leaders’ views on the role of faith-based organizations in promoting healthy eating and physical activity in children. Design Qualitative research using semi-structured in-depth interviews. Setting South Carolina. Participants Leaders (n = 26) from United Methodist churches (n = 20). Phenomenon of Interest Perceptions of health promotion efforts for children in faith-based settings, including primary health concerns, perceived opportunities, partnerships, and the relationship of these efforts to the overall church mission. Analysis Interviews were transcribed verbatim and coded using a constant comparative method. Results Five themes emerged related to (1) multiple concerns about health issues facing children; (2) existing church structures influencing health behaviors; (3) potential partnerships to address children's health; (4) importance of role models; and (5) the need for a tailored approach. Conclusions and Implications Church leaders viewed childhood health behaviors as an important area of concern for the church and identified links between physical and spiritual health. They identified multiple existing and potential organizational and community structures as important in improving healthy eating and physical activity. Faith-based organizations can play an important role in developing and delivering health programming for children but desired assistance through partnerships with subject matter experts.","Church Leaders’ Views of Obesity Prevention Efforts for Children and Youth. Abstract Objective To examine church leaders’ views on the role of faith-based organizations in promoting healthy eating and physical activity in children. Design Qualitative research using semi-structured in-depth interviews. Setting South Carolina. Participants Leaders (n = 26) from United Methodist churches (n = 20). Phenomenon of Interest Perceptions of health promotion efforts for children in faith-based settings, including primary health concerns, perceived opportunities, partnerships, and the relationship of these efforts to the overall church mission. Analysis Interviews were transcribed verbatim and coded using a constant comparative method. Results Five themes emerged related to (1) multiple concerns about health issues facing children; (2) existing church structures influencing health behaviors; (3) potential partnerships to address children's health; (4) importance of role models; and (5) the need for a tailored approach. Conclusions and Implications Church leaders viewed childhood health behaviors as an important area of concern for the church and identified links between physical and spiritual health. They identified multiple existing and potential organizational and community structures as important in improving healthy eating and physical activity. Faith-based organizations can play an important role in developing and delivering health programming for children but desired assistance through partnerships with subject matter experts.",Doc_7
"Church attendance, denomination, and suicide ideology.","The influence of religion on attitudes toward suicide was explored, using a representative sample (N = 2,034) of 15- to 30-year-old Germans. The dependent variable was approval vs. disapproval of suicide in hopeless situations. A logit model that fits the data includes the variables of denomination, church attendance, education, and suicide of an acquaintance as well as a Church Attendance x Suicide of an Acquaintance interaction. Gender did not improve the fit of the model. The results of the analysis indicated that church attendance and Catholicism decreased support for suicide. The effect of religiosity on attitudes about suicide was not affected by gender or by education. Language: en","Church attendance, denomination, and suicide ideology.. The influence of religion on attitudes toward suicide was explored, using a representative sample (N = 2,034) of 15- to 30-year-old Germans. The dependent variable was approval vs. disapproval of suicide in hopeless situations. A logit model that fits the data includes the variables of denomination, church attendance, education, and suicide of an acquaintance as well as a Church Attendance x Suicide of an Acquaintance interaction. Gender did not improve the fit of the model. The results of the analysis indicated that church attendance and Catholicism decreased support for suicide. The effect of religiosity on attitudes about suicide was not affected by gender or by education. Language: en",Doc_8
Migrant Status and Church Attendance,"Analysis of the responses of a combined sample of 3,083 residents of a large mnetropolis was made to investigate the relationship between migrant status and church attendance. Church attendance rates for various types of migrants (urban and rural) were compared to each other and to those of the natives controlling for age, length of residence, region of origin, religion, sex, and socioeconomic status. A consistent pattern of migrants differentials was found among migrants of recent residence. Such findings were interpreted as being related to the importance of the urban church as an integratinig mechanism so that the groups best equipped and nmost in need of such a mechanism will show the highest rates of attendance.","Migrant Status and Church Attendance. Analysis of the responses of a combined sample of 3,083 residents of a large mnetropolis was made to investigate the relationship between migrant status and church attendance. Church attendance rates for various types of migrants (urban and rural) were compared to each other and to those of the natives controlling for age, length of residence, region of origin, religion, sex, and socioeconomic status. A consistent pattern of migrants differentials was found among migrants of recent residence. Such findings were interpreted as being related to the importance of the urban church as an integratinig mechanism so that the groups best equipped and nmost in need of such a mechanism will show the highest rates of attendance.",Doc_9
Church Connectedness and Psychological Well-Being of Catholic Faithful in the Diocese of Bacolod,"This study aimed to determine the degree of perceived church connectedness and the level of psychological well-being of the Catholic faithful in the Vicariate of Bago, Diocese of Bacolod as a whole and according to the demographics.  A descriptive-correlational research design was utilized to know the degree of church connectedness and its relationship to the level of psychological well-being of the respondents. The investigation used a researcher-made Church Connectedness Scale and the Flourishing Scale (FS). Results revealed a somewhat high degree of church connectedness and a high level of psychological well- being among respondents. Church connectedness is significantly correlated with age and mass attendance while psychological well-being is associated with organization and ministry affiliation. The weak significant relationship between church connectedness and psychological well-being has implications on the development of the said variables among the Catholic faithful.","Church Connectedness and Psychological Well-Being of Catholic Faithful in the Diocese of Bacolod. This study aimed to determine the degree of perceived church connectedness and the level of psychological well-being of the Catholic faithful in the Vicariate of Bago, Diocese of Bacolod as a whole and according to the demographics.  A descriptive-correlational research design was utilized to know the degree of church connectedness and its relationship to the level of psychological well-being of the respondents. The investigation used a researcher-made Church Connectedness Scale and the Flourishing Scale (FS). Results revealed a somewhat high degree of church connectedness and a high level of psychological well- being among respondents. Church connectedness is significantly correlated with age and mass attendance while psychological well-being is associated with organization and ministry affiliation. The weak significant relationship between church connectedness and psychological well-being has implications on the development of the said variables among the Catholic faithful.",Doc_10
Church History 501,"This course is an introduction to the development of the Christian church from the Apostolic Period to the dawn of the Reformation. Emphasis is placed upon the central historical movements, figures, and theological issues of the period from the global perspective, with attention to their relevance for contemporary Christian ministry. Major primary texts and interpretive studies will be read and reflected. Course Assignments, Requirements, and Evaluation 1. Class Attendance and Participation (10%) 2. A Reading Report and Discussion from Reading Assignment (10%) 3. A Historical/Theological Biography (5%) Write a 2-3 page theological history (a personal inventory in the ecclesiological and/or movement context), reflecting your own journey around Christian communities (traditions, churches, mission organizations, para-church movements and so on). What might be one or two central theological themes that have given you interests, questions, and challenges in your life, study, and ministry (history and contemporary relevance)? Due: Sep 11 4. Two Reflection Papers (35%) Choosing from primary source listings, each student is required to write two Reflection Papers. Each paper should be written in 5-6 page length (typed and double-spaced) with historical/textual and/or critical theological analysis (see the handout 2). Due: Sep 25 (15%), Nov 20 (20%) 5. Two Take-Home Exams (40%) Take-home exams are to be answered in essay form. Due: Oct 23 (mid-term), Dec 13 (final)","Church History 501. This course is an introduction to the development of the Christian church from the Apostolic Period to the dawn of the Reformation. Emphasis is placed upon the central historical movements, figures, and theological issues of the period from the global perspective, with attention to their relevance for contemporary Christian ministry. Major primary texts and interpretive studies will be read and reflected. Course Assignments, Requirements, and Evaluation 1. Class Attendance and Participation (10%) 2. A Reading Report and Discussion from Reading Assignment (10%) 3. A Historical/Theological Biography (5%) Write a 2-3 page theological history (a personal inventory in the ecclesiological and/or movement context), reflecting your own journey around Christian communities (traditions, churches, mission organizations, para-church movements and so on). What might be one or two central theological themes that have given you interests, questions, and challenges in your life, study, and ministry (history and contemporary relevance)? Due: Sep 11 4. Two Reflection Papers (35%) Choosing from primary source listings, each student is required to write two Reflection Papers. Each paper should be written in 5-6 page length (typed and double-spaced) with historical/textual and/or critical theological analysis (see the handout 2). Due: Sep 25 (15%), Nov 20 (20%) 5. Two Take-Home Exams (40%) Take-home exams are to be answered in essay form. Due: Oct 23 (mid-term), Dec 13 (final)",Doc_11
