Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
030-713-345-043-689,The law of the Church in Wales,2002-09-01,2002,book,,,,,Christopher Norman Doe,"Like other major social institutions, the Church in Wales is regulated by a complicated body of rules that are the product of continuous historical development, theological reflection and practical action. In this book, Norman Doe provides the first comprehensive statement of the modern law of the Church in Wales and the law of the State applicable to the church. The Law of the Church in Wales sets out the legal structures of the Church in Wales, and how these operate within the context of both the law of the State and the laws of other churches in the worldwide Anglican Communion. It describes how the church organises its internal government, the rights and duties of its clergy and lay people, its public worship, its rites (such as baptism and marriage), its relations with other Christian churches, and its property and finances. The Law of the Church in Wales is an accessible and practical guide to the legal rules, rights and duties which have an impact on so many aspects of the church's life and role in society. It will be an essential text for clergy and lay officers of the Church in Wales, and for anyone interested in ecclesiastical law in Wales.",,,,,Church history; English law; Sociology; Law; State (polity); Baptism; Context (language use); Canon law; Christianity; Lord's New Church Which Is Nova Hierosolyma,,,,,https://orca.cardiff.ac.uk/2918/ https://openlibrary.org/books/OL22567403M/The_law_of_the_Church_in_Wales https://www.amazon.com/Law-Church-Wales-Norman-Doe/dp/0708317480,https://orca.cardiff.ac.uk/2918/,,,2100001333,,0,,16,false,,
031-081-980-446-448,"Church, Church Ministry, and Church Order",2021-05-31,2021,book chapter,The Cambridge Companion to the Apostolic Fathers,,Cambridge University Press,,David J. Downs,,,,156,174,Sociology; Law; Order (business); Christian ministry,,,,,https://www.cambridge.org/core/books/cambridge-companion-to-the-apostolic-fathers/church-church-ministry-and-church-order/E73E347BCCAB87E2E61785A772C65CE5,http://dx.doi.org/10.1017/9781108554992.009,,10.1017/9781108554992.009,3167504125,,0,008-902-751-288-986; 015-267-377-674-759; 023-773-565-081-936; 027-884-940-832-410; 037-807-438-523-835; 065-408-555-756-66X; 066-959-906-014-092; 083-816-158-943-66X,1,false,,
031-237-408-944-348,The Message of Peace,2016-08-29,2016,book,,,,,R. W. Church; Richard W Church,,,,,,,,,,,https://www.amazon.com/Message-Peace-Classic-Reprint/dp/133169678X https://openlibrary.org/books/OL24993570M/The_message_of_peace,https://www.amazon.com/Message-Peace-Classic-Reprint/dp/133169678X,,,2970265472,,0,,0,false,,
031-241-746-661-465,Church and Society in Catholic Europe of the Eighteenth Century,1979-07-31,1979,book,,,,,William J. Callahan; David Higgs,1. Introduction William J. Callahan and David Higgs 2. The French church Olwen Hufton 3. The Spanish church William J. Callahan 4. The Portuguese church David Higgs 5. The Italian churches Mario Rosa 6. The German Reichskirche Gerhard Benecke 7. The Austrian church Jean Berenger 8. The Hungarian church Bela K. Kiraly 9. The Polish church Jerzy Kloczowski 10. Popular religion in the eighteenth century Marc Vernard.,,,,,Church history; German; Portuguese; Canon law; Christianity; Classics; Lord's New Church Which Is Nova Hierosolyma; History,,,,,https://www.cambridge.org/core/books/church-and-society-in-catholic-europe-of-the-eighteenth-century/724F8A49F7A68C3DB7399D6B921A5B5F http://ci.nii.ac.jp/ncid/BA03125378 https://philpapers.org/rec/CALCAS-4 https://openlibrary.org/books/OL4724543M/Church_and_society_in_Catholic_Europe_of_the_eighteenth_century https://www.amazon.com/Church-Society-Catholic-Eighteenth-Century/dp/0521090776,https://www.cambridge.org/core/books/church-and-society-in-catholic-europe-of-the-eighteenth-century/724F8A49F7A68C3DB7399D6B921A5B5F,,,1576897044,,0,,13,false,,
031-540-362-073-111,The Robert R. Churches of Memphis : A Father and Son Who Achieved in Spite of Race,,1974,book,,,,,Ronald L. Lewis; Annette E. Church; Roberta Church,,,,,,Spite; Religious studies; Memphis; Race (biology); History,,,,,https://www.amazon.com/Robert-R-Churches-Memphis-Achieved/dp/0937130133 https://openlibrary.org/books/OL5122405M/The_Robert_R._Churches_of_Memphis,https://www.amazon.com/Robert-R-Churches-Memphis-Achieved/dp/0937130133,,,2797666368,,0,,6,false,,
031-998-809-538-160,Introducing Feminist Ecclesiology,,2002,book,,,Bloomsbury Academic,,,"The church has always been a place of profound ambivalence for women. While the majority of those who attend church are women, women experience hierarchical exclusion and invisibility within its institutional structures. Throughout most of its history, women have not participated in the church’s reflections on its own nature. And yet, feminist theologians claim that women are church and always have been church. This book explores women’s experiences of being church and reclaiming the church in order to rebuild it as meaningful, open, sacramental space where everybody’s presence is celebrated. Natalie Watson proposes a creative and constructive dialogue with existing theological approaches to the church, from different Christian traditions as well as more recent feminist theologians, and suggests the development of criteria which hear women’s experiences of being church and reclaiming church into speech. The church is the embodied reality of all women, children and men whose stories tell the",,,,,Invisibility; Ecclesiology; Ambivalence; Gender studies; Sociology; Political science; Psychoanalysis; Psychology; Law; Computer science; Artificial intelligence,,,,,,http://dx.doi.org/10.5040/9781474213257,,10.5040/9781474213257,,,0,,0,false,,
032-361-044-789-053,Kirchensteuerzahlende in Deutschland: Ergebnisse aus den Lohn- und Einkommensteuerstatistiken,,2020,journal article,Kirche und Recht,09478094; 23666722,Wissenschaftliche Verlagsgesellschaft mbH,,David Gutmann,"Due to the anonymised church tax collection in Germany, the churches have neither information on the number and structure of the church taxpayers nor on the individual church tax payment. Therefore, a specific evaluation of the income tax statistics transfers the data to the regional structure of the Evangelical and Catholic Church in Germany is necessary. Between the years 2010 and 2015 - despite the high numbers of deregistrations - church tax revenue increased. Although the share of church members in all taxpayers decreased during this period, the number of church taxpayers and their average age-specific church tax payment increased due to economic growth. Furthermore, an analysis by income group shows that the church membership rate decreases with increasing income. Almost 15 percent of church members in Germany with a taxable income starting at € 30,000 make up 77 percent of the church tax revenue.",26,1,93,110,Payment; Taxable income; Economics; Income tax; Revenue; Church tax; Church membership; Income group; Demographic economics,,,,,https://elibrary.bwv-verlag.de/article/10.35998/kur-2020-0007 https://ixtheo.de/Record/1700146688,http://dx.doi.org/10.35998/kur-2020-0007,,10.35998/kur-2020-0007,3043273199,,0,,0,false,,
032-627-902-478-08X,"Whitman School (Portland, Oregon)",,1955,,,,,,Newberry Roehr Architects Church; Walter Enos Church; Earl Presley Newberry; Frank G. Roehr; Newberry Roer Church; Walter E. Church; Earl P. Newberry,,,,,,Architecture; Engineering; Visual arts,,,,,,,,,2122523637,,0,,0,false,,
032-649-159-596-190,The effect of gradient upon cardio respiratory responses and gross mechanical efficiency at the same power output during cycling,,1998,journal article,Journal of Sports Sciences,02640414; 1466447x,Informa UK Limited,United Kingdom,Damian A Coleman; Richard Davison; J. Balmer; A.J. Proffitt; S.C. Theakston; Steve Bird,,16,1,30,31,Cardiorespiratory fitness; Internal medicine; Cardiology; Power output; Cycling; Medicine,,,,,https://repository.canterbury.ac.uk/item/85767/the-effect-of-gradient-upon-cardio-respiratory-responses-and-gross-mechanical-efficiency-at-the-same-power-output-during-cycling https://research-portal.uws.ac.uk/en/publications/the-effect-of-gradient-upon-cardiorespiratory-responses-and-gross https://research.leedstrinity.ac.uk/en/publications/evaluation-of-the-validity-and-reliability-of-a-30-s-vertical-jump-test(51ecd6c6-45f6-4405-bbf4-9b6d57ccdd54)/export.html,http://dx.doi.org/10.1080/026404198366948a,,10.1080/026404198366948a,2794529088,,0,,3,false,,
032-775-814-162-266,Contents,1992-04-14,1992,book chapter,Contribution of Methodism to Atlantic Canada,,McGill-Queen's University Press,,Owen Chadwick; J. A. Grant; Hans Rollmann; Methodism In; Nova Scotia; William George Black; Henry Alline; Nova Scotia's First; Great Awakening; George A. Rawlyk; Allen Robertson; James F. Cameron; Michael Gauvreau,,,,v,vi,Computer science,,,,,https://www.degruyter.com/document/doi/10.1515/9780773563223-toc/pdf http://dx.doi.org/10.1515/9780773563223-toc,http://dx.doi.org/10.1515/9780773563223-toc,,10.1515/9780773563223-toc,,,0,,0,true,,bronze
